longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room ,population_per_household
-122.23,37.88,0.7843137254901961,880.0,129.0,0.008940833543541018,126.0,0.5396684183666434,0.9022663824066706,NEAR BAY,6.984126984126984,0.14659090909090908,2.5555555555555554
-122.22,37.86,0.39215686274509803,7099.0,1106.0,0.06721040387903249,1138.0,0.5380270616957008,0.7082465639316952,NEAR BAY,6.238137082601054,0.15579659106916466,2.109841827768014
-122.24,37.85,0.9999999999999999,1467.0,190.0,0.013817651840017937,177.0,0.4660280547854513,0.6950507420587957,NEAR BAY,8.288135593220339,0.12951601908657123,2.8022598870056497
-122.25,37.85,0.9999999999999999,1274.0,235.0,0.015555368704279829,219.0,0.35469855588198784,0.6727827926482778,NEAR BAY,5.8173515981735155,0.18445839874411302,2.547945205479452
-122.25,37.85,0.9999999999999999,1627.0,280.0,0.015751562543793268,259.0,0.2307761272258314,0.6746384550991543,NEAR BAY,6.281853281853282,0.1720958819913952,2.1814671814671813
-122.25,37.85,0.9999999999999999,919.0,213.0,0.01149135345721573,193.0,0.24392077350657237,0.5251545354452147,NEAR BAY,4.761658031088083,0.23177366702937977,2.139896373056995
-122.25,37.84,0.9999999999999999,2535.0,489.0,0.030578211272737466,514.0,0.21787285692611136,0.5859790268906108,NEAR BAY,4.9319066147859925,0.19289940828402366,2.1284046692607004
-122.25,37.84,0.9999999999999999,3104.0,687.0,0.03234395582835842,647.0,0.18069405939228428,0.46680426060098723,NEAR BAY,4.797527047913447,0.22132731958762886,1.7882534775888717
-122.26,37.84,0.8039215686274509,2555.0,665.0,0.03371731270495249,595.0,0.10899849657246109,0.4364951072366712,NEAR BAY,4.294117647058823,0.2602739726027397,2.026890756302521
-122.25,37.84,0.9999999999999999,3549.0,707.0,0.043386866223829146,714.0,0.22008661949490355,0.507422649803506,NEAR BAY,4.970588235294118,0.1992110453648915,2.172268907563025
-122.26,37.85,0.9999999999999999,2202.0,434.0,0.02542111606266992,402.0,0.18642501482738172,0.5494843320233731,NEAR BAY,5.477611940298507,0.19709355131698456,2.263681592039801
-122.26,37.85,0.9999999999999999,3503.0,752.0,0.04206956472995319,734.0,0.1910732265761852,0.4676289994680434,NEAR BAY,4.772479564032698,0.2146731373108764,2.0490463215258856
-122.26,37.85,0.9999999999999999,2491.0,474.0,0.030690322038173717,468.0,0.1775906539220149,0.409278724623816,NEAR BAY,5.322649572649572,0.1902850260939382,2.3461538461538463
-122.26,37.84,0.9999999999999999,696.0,191.0,0.009585470444799462,174.0,0.14990827712721205,0.36350571750219585,NEAR BAY,4.0,0.2744252873563218,1.9827586206896552
-122.26,37.85,0.9999999999999999,2643.0,626.0,0.033885478853106867,620.0,0.09770899711728116,0.29732042342093434,NEAR BAY,4.262903225806451,0.23685206205069997,1.9548387096774194
-122.26,37.85,0.9607843137254901,1120.0,283.0,0.019451217803189553,264.0,0.11207431621632806,0.2577329578022359,NEAR BAY,4.242424242424242,0.2526785714285714,2.640151515151515
-122.27,37.85,0.9999999999999999,1966.0,347.0,0.022141876173659574,331.0,0.15690128412021903,0.2835060473977427,NEAR BAY,5.9395770392749245,0.17650050864699898,2.395770392749245
-122.27,37.85,0.9999999999999999,1228.0,293.0,0.018077860926595475,303.0,0.11174328629949933,0.2896915889006643,NEAR BAY,4.052805280528053,0.23859934853420195,2.1386138613861387
-122.26,37.84,0.9607843137254901,2239.0,455.0,0.02766333137139494,419.0,0.10283996082812653,0.29628949983711406,NEAR BAY,5.343675417661098,0.20321572130415363,2.3627684964200477
-122.27,37.84,0.9999999999999999,1503.0,298.0,0.01925502396367611,275.0,0.14506006813699124,0.30494925794120437,NEAR BAY,5.465454545454546,0.19827012641383898,2.5090909090909093
